Date	Sleep	SleepStage	ID	Session
20150224_02-38-57	headband	undocked	4003	E1
20150224_02-39-16	sleep	0	4003	E1
20150224_02-39-46	sleep	0	4003	E1
20150224_02-40-16	sleep	0	4003	E1
20150224_02-40-46	sleep	0	4003	E1
20150224_02-41-16	sleep	0	4003	E1
20150224_02-41-46	sleep	0	4003	E1
20150224_02-42-16	sleep	0	4003	E1
20150224_02-42-46	sleep	0	4003	E1
20150224_02-43-16	sleep	0	4003	E1
20150224_02-43-46	sleep	1	4003	E1
20150224_02-44-16	sleep	1	4003	E1
20150224_02-44-46	sleep	1	4003	E1
20150224_02-45-16	sleep	1	4003	E1
20150224_02-45-46	sleep	1	4003	E1
20150224_02-46-16	sleep	1	4003	E1
20150224_02-46-46	sleep	1	4003	E1
20150224_02-47-16	sleep	1	4003	E1
20150224_02-47-46	sleep	1	4003	E1
20150224_02-48-16	sleep	1	4003	E1
20150224_02-48-46	sleep	2	4003	E1
20150224_02-49-16	sleep	2	4003	E1
20150224_02-49-46	sleep	2	4003	E1
20150224_02-50-16	sleep	2	4003	E1
20150224_02-50-46	sleep	2	4003	E1
20150224_02-51-16	sleep	2	4003	E1
20150224_02-51-46	sleep	3	4003	E1
20150224_02-52-16	sleep	3	4003	E1
20150224_02-52-46	sleep	3	4003	E1
20150224_02-53-16	sleep	3	4003	E1
20150224_02-53-46	sleep	3	4003	E1
20150224_02-54-16	sleep	3	4003	E1
20150224_02-54-46	sleep	3	4003	E1
20150224_02-55-16	sleep	3	4003	E1
20150224_02-55-46	sleep	3	4003	E1
20150224_02-56-16	sleep	3	4003	E1
20150224_02-56-46	sleep	3	4003	E1
20150224_02-57-16	sleep	3	4003	E1
20150224_02-57-46	sleep	3	4003	E1
20150224_02-58-16	sleep	3	4003	E1
20150224_02-58-46	sleep	3	4003	E1
20150224_02-59-16	sleep	3	4003	E1
20150224_02-59-46	sleep	3	4003	E1
20150224_03-00-16	sleep	3	4003	E1
20150224_03-00-46	sleep	3	4003	E1
20150224_03-01-16	sleep	3	4003	E1
20150224_03-01-46	sleep	3	4003	E1
